"variable_name","variable_type","variable_label"
"n4a","haven_labelled, vctrs_vctr, double","Average Monthly Compensation Of A Production Full-Time Worker In Last Fiscal Yr"
"n4b","numeric","Average Monthly Compensation (Non-Production Worker)"
"n5a","haven_labelled, vctrs_vctr, double","Total Annual Expenditure For Purchases Of Equipment In Last Fiscal Yr"
"n5b","haven_labelled, vctrs_vctr, double","Total Annual Expenditure For Purchases Of Land And Buildings In Last Fiscal Yr"
"n5c","haven_labelled, vctrs_vctr, double","Total Annual Expenditure For Purchases Of Equipment In Year Prior To Last Fy"
"n5d","haven_labelled, vctrs_vctr, double","Total Annual Expenditure On Land And Buildings In Year Prior To Last Fy"
"n6a","haven_labelled, vctrs_vctr, double","Net Book Value Of Machinery Vehicles, And Equipment In Last Fiscal Year"
"n6b","haven_labelled, vctrs_vctr, double","Net Book Value Of Land And Buildings In Last Fiscal Year"
"n7a","haven_labelled, vctrs_vctr, double","Cost For Establishment To Re-Purchase All Of Its Machinery"
"n7b","haven_labelled, vctrs_vctr, double","Cost For Establishment To Re-Purchase All Of Its Land And Buildings"
"n11","haven_labelled, vctrs_vctr, double","Effective income-based tax rate"
"n11_BR","haven_labelled, vctrs_vctr, double","Effective income-based tax rate"
"n12","haven_labelled, vctrs_vctr, double","Effective consumption tax rate"
"n12_BR","haven_labelled, vctrs_vctr, double","Effective consumption tax rate"
"a20d","numeric","Day of the last completed calendar fiscal year"
"a20d_BR","numeric","Follow-up: Close Day of The Last Completed Fiscal Year"
"a20m","haven_labelled, vctrs_vctr, double","Month of the last completed calendar fiscal year"
"a20m_BR","haven_labelled, vctrs_vctr, double","Follow-up: Close Month of The Last Completed Fiscal Year"
"a20y","numeric","Year of the last completed calendar fiscal year"
"a20y_BR","numeric","Follow-up: Close Year of The Last Completed Fiscal Year"
"a20_BR","character","YEAR"
"q_version","haven_labelled, vctrs_vctr, double","Version of the Questionnaire, for Indonesia 2023"
"a1d","haven_labelled, vctrs_vctr, double","Mode of Collection"
"strata","haven_labelled, vctrs_vctr, double","Groups defined by stratification region, size, sector, and panel codes"
"strata_BR","haven_labelled, vctrs_vctr, double","Groups defined by stratification region, size, sector, and panel codes"
"strata_all","numeric","Control: variable strata, unique by economy and year"
