"variable_name","variable_type","variable_label"
"d5a","haven_labelled, vctrs_vctr, double","In Clearing Exports Through Customs,Informal Gift/Payment Expected Or Requested?"
"d6","haven_labelled, vctrs_vctr, double","In Last Fy, Export Losses Due To Theft As % Of Value Of Products"
"d7","haven_labelled, vctrs_vctr, double","In Last Fy, Export Losses Due To Breakage Or Spoilage As % Of Value Of Products"
"d8","haven_labelled, vctrs_vctr, double","In What Year Did This Establishment First Export Directly Or Indirectly?"
"d9","haven_labelled, vctrs_vctr, double","Who Was The Principal Buyer For This EstablishmentÓ“ Output?"
"d10","haven_labelled, vctrs_vctr, double","In Last Fy, % Of Value Of Products Lost In Transit Due To Theft"
"d10a","haven_labelled, vctrs_vctr, double","% Consignment Value Dom. Exports Lost In Transit Due To Theft/Breakage/Spoilage"
"d11","haven_labelled, vctrs_vctr, double","In Last Fy, % Of Value Of Products Lost In Transit Due To Breakage Or Spoilage?"
"d12a","haven_labelled, vctrs_vctr, double","% Of Material Inputs And Supplies Of Domestic Origin In Last Fiscal Year"
"d12a_BR","haven_labelled, vctrs_vctr, double","Follow-up: % of Material Inputs And Supplies of Domestic origin In Last Fiscal Y"
"d12b","haven_labelled, vctrs_vctr, double","% Of Material Inputs And Supplies Of Foreign Origin In Last Fiscal Year"
"d12b_BR","character","Follow-up: % of Material Inputs And Supplies of Foreign origin In Last Fiscal Ye"
"d13","haven_labelled, vctrs_vctr, double","Were Any Of These Material Inputs And Supplies Imported Directly?"
"d13_BR","haven_labelled, vctrs_vctr, double","Follow-up: Were Any of These Material Inputs And Supplies Imported Directly?"
"d38x","character","Main origin of imports (economy code)"
"d38x_BR","haven_labelled, vctrs_vctr, double","Main origin of imports (economy code)"
"d39","haven_labelled, vctrs_vctr, double","Main point of entry"
"d39_BR","haven_labelled, vctrs_vctr, double","Main point of entry"
"d44","haven_labelled, vctrs_vctr, double","Inspection, certification or licensing prior to point of entry"
"d45a","haven_labelled, vctrs_vctr, double","Average duration to clear customs: Days"
"d45b","haven_labelled, vctrs_vctr, double","Average duration to clear customs: Hours"
"d14","haven_labelled, vctrs_vctr, double","Avg. Num. Of Days For Imported Goods To Clear Customs In Last Fiscal Year"
"d14a","haven_labelled, vctrs_vctr, double","Avg. Num. of Days For Imported Goods To Clear Customs In Last Fiscal Year"
"d14a_BR","haven_labelled, vctrs_vctr, double","Avg. Num. of Days For Imported Goods To Clear Customs In Last Fiscal Year"
"d14b","haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear customs"
"d14b_BR","haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear customs"
